0	1607	1644	1672
20	1997	2059	2124
40	2051	2107	2117
60	2056	2100	2128
80	2079	2104	2117
100	2061	2097	2116
120	2069	2105	2117
140	2084	2107	2117
160	2071	2102	2119
180	2079	2101	2118
200	2087	2108	2115
220	2085	2108	2117
240	2106	2113	2119
260	2102	2111	2116
280	2088	2109	2118
300	2107	2114	2120
320	2098	2112	2115
340	2106	2114	2120
360	2111	2116	2120
380	2108	2115	2121
400	2112	2119	2125
420	2112	2119	2122
440	2114	2119	2124
460	2114	2119	2125
480	2112	2120	2128
500	2113	2119	2122
520	2115	2120	2123
540	2116	2120	2125
